name;title;reference;metasploit;type;name2;title3;reference4;metasploit5;type6;version;title7;reference8;metasploit9;type10
crayon-syntax-highlighter;Crayon Syntax Highlighter Remote File Inclusion;http://secunia.com/advisories/50804/;;RFI;;;;;;;;;;
crayon-syntax-highlighter;Crayon Syntax Highlighter Remote File Inclusion;http://ceriksen.com/2012/10/15/wordpress-crayon-syntax-highlighter-remote-file-inclusion-vulnerability/;;RFI;;;;;;;;;;
ungallery;UnGallery plugin <= 1.5.8 Local File Disclosure Vulnerability;http://www.exploit-db.com/exploits/17704/;;LFI;;;;;;;;;;
ungallery;UnGallery Arbitrary < 2.1.6 Command Execution;http://secunia.com/advisories/50875/;;RCE;;;;;;;;;;
ungallery;UnGallery Arbitrary < 2.1.6 Command Execution;http://ceriksen.com/2012/10/23/wordpress-ungallery-remote-command-injection-vulnerability/;;RCE;;;;;;;;;;
thanks-you-counter-button;Thank You Counter Button < 1.8.3 XSS;http://secunia.com/advisories/50977/;;XSS;;;;;;;;;;
bookings;Bookings < 1.8.3 XSS;http://secunia.com/advisories/50975/;;XSS;;;;;;;;;;
cimy-user-manager;Cimy User Manager Arbitrary File Disclosure;http://secunia.com/advisories/50834/;;UNKNOWN;;;;;;;;;;
cimy-user-manager;Cimy User Manager Arbitrary File Disclosure;http://ceriksen.com/2012/10/24/wordpress-cimy-user-manager-arbitrary-file-disclosure/;;UNKNOWN;;;;;;;;;;
fs-real-estate-plugin;"WordPress FireStorm Professional Real Estate Plugin < 2.06.04 ""id"" SQL Injection Vulnerability";http://secunia.com/advisories/51107/;;SQLI;;;;;;;;;;
fs-real-estate-plugin;FireStorm Professional Real Estate Plugin < 2.06.03 Multiple SQL Injection;http://secunia.com/advisories/50873/;;SQLI;;;;;;;;;;
fs-real-estate-plugin;FireStorm Professional Real Estate Plugin < 2.06.03 Multiple SQL Injection;http://ceriksen.com/2012/10/25/wordpress-firestorm-professional-real-estate-plugin-sql-injection-vulnerability/;;SQLI;;;;;;;;;;
wp125;WP125 Multiple XSS;http://secunia.com/advisories/50976/;;XSS;;;;;;;;;;
all-video-gallery;Wordpress All Video Gallery Plugin Multiple SQL Injection Vulnerabilities;http://secunia.com/advisories/50874/;;SQLI;;;;;;;;;;
all-video-gallery;Wordpress All Video Gallery Plugin Multiple SQL Injection Vulnerabilities;http://ceriksen.com/2012/11/04/wordpress-all-video-gallery-plugin-sql-injection/;;SQLI;;;;;;;;;;
buddystream;BuddyStream XSS;http://secunia.com/advisories/50972/;;XSS;;;;;;;;;;
post-views;post-views XSS;http://secunia.com/advisories/50982/;;XSS;;;;;;;;;;
floating-social-media-links;Floating Social Media Links Remote File Inclusion;http://secunia.com/advisories/51346/;;RFI;;;;;;;;;;
