name;title;reference;metasploit;type;name2;title3;reference4;metasploit5;type6;version;title7;reference8;metasploit9;type10
;;;;;onepagewebsite;onepagewebsite Full Path Disclosure vulnerability;http://1337day.com/exploit/20027;;FPD;;;;;
;;;;;vithy;vithy Full Path Disclosure vulnerability;http://1337day.com/exploit/20040;;FPD;;;;;
;;;;;appius;appius Full Path Disclosure vulnerability;http://1337day.com/exploit/20039;;FPD;;;;;
;;;;;yvora;yvora Full Path Disclosure vulnerability;http://1337day.com/exploit/20038;;FPD;;;;;
;;;;;shotzz;shotzz Full Path Disclosure vulnerability;http://1337day.com/exploit/20041;;FPD;;;;;
;;;;;moneymasters;moneymasters Full Path Disclosure vulnerability;http://1337day.com/exploit/20077;;FPD;;;;;
;;;;;moneymasters;moneymasters File Upload Vulnerability (metasploit);http://1337day.com/exploit/20076;;UPLOAD;;;;;
;;;;;ovum;XSS vulnerability in Imediapixel premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-imediapixel.html;;XSS;;;;;
;;;;;avanix;XSS vulnerability in Imediapixel premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-imediapixel.html;;XSS;;;;;
;;;;;ebiz;XSS vulnerability in Imediapixel premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-imediapixel.html;;XSS;;;;;
;;;;;ecobiz;XSS vulnerability in Imediapixel premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-imediapixel.html;;XSS;;;;;
;;;;;traject;XSS vulnerability in Parallelus premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-parallelus-premium.html;;XSS;;;;;
;;;;;intersect;XSS vulnerability in Parallelus premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-parallelus-premium.html;;XSS;;;;;
;;;;;salutation;XSS vulnerability in Parallelus premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-parallelus-premium.html;;XSS;;;;;
;;;;;unite;XSS vulnerability in Parallelus premium WordPress themes;http://jannefi.blogspot.fi/2012/10/xss-vulnerability-in-parallelus-premium.html;;XSS;;;;;
